community_name,community_address,community_rent,community_rooms,community_description,apartment_no,no_of_bedrooms,no_of_bathrooms,area,floor_no,availability,deposit,Max_rent,Min_rent,amenities,community_amenities
Verve,"1984 West El Camino RealMountain View, CA 94040","$3,649",2 Bedrooms,This modern apartment community features unique amenities and stylish finishes that fit your tech-centered life.,146,1,1.0,802,1,True,450.0,3694.0,3694.0,"['High ceilings', 'White/walnut on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Gas stove', 'Pantry', 'Wood plank flooring', 'Washer and dryer', 'Walk-in closet(s)', 'Custom built-in closet(s)', 'Tile floors in bathroom(s)', 'Central A/C and heat', 'Handicap accessible', 'Corner apartment', 'Close to elevator', 'White/Walnut cabinetry']","['BBQ area', 'Bike storage', 'Clubhouse', 'Conference rooms', 'Controlled-access parking garage', 'Electric vehicle charging stations', 'Elevator', 'Fitness center', 'Fitness on Demand technology', 'Game room', 'Leasing lounge', 'LEED Certified Silver', 'Package lockers', 'Pet friendly', 'Swimming pool with cabanas', 'Veranda Deck with outdoor seating and fire pit']"
CitySouth,"3055 La SelvaSan Mateo, CA 94403","$2,867",3 Bedrooms,"A design-centric enclave, these luxury apartments in San Mateo Terrace feature a full range of top-shelf amenities.",217,2,2.0,855,2,True,625.0,3601.0,3601.0,"['Walnut on grey finish package', 'Walnut cabinetry', 'Granite countertops', 'Stainless steel appliances', 'Patio/balcony', 'Smart home package', 'Washer and dryer', 'Attached storage', 'Walk-in closet', 'Closet built-ins', 'Central A/C and heat']","['24-hour fitness center', 'Airbnb-friendly', 'BBQ & Cabana Areas', 'Co-working lounge', 'Dog park', 'Heated swimming pool', 'Indoor/outdoor fitness center', 'Jacuzzi', 'On-site storage', 'Package lockers ', 'Parking (covered and uncovered)', 'Resident lounge', 'Sports Viewing Room', 'Zen Garden']"
Laurel Tree,"1185 Monroe StreetSalinas, CA 93906","$1,611",3 Bedrooms,Step away from of the city and savor green spaces and garden-like scenery at Laurel Tree apartments.,36,0,1.0,400,2,True,1350.0,1611.0,1611.0,"['Smart home package', 'Wood plank flooring']","['24-hour fitness center', 'BBQ area', 'Dog park', 'Electric vehicle charging stations', 'Swimming pool', 'Limited access gates', 'On-site laundry', 'Pet friendly', 'Playground']"
Pointe at Westlake,"60 Stephanie DriveSalinas, CA 93901","$1,844",2 Bedrooms,"When you live in our stylish apartments in South Salinas,  you'll wake up every day to panoramic views of beautiful Salinas Valley.",B303,0,1.0,480,3,True,1475.0,1899.0,1899.0,"['Oak on black finish package', 'Black appliances', 'Carpet flooring', 'Smart home package', 'Balcony', 'Breakfast bar', 'Oak cabinetry', 'Black countertops']","['Courtesy patrol', 'Grilling and picnic area', 'Swimming pool', 'On-site laundry (every floor)', 'On-site maintenance', 'Pet friendly']"
Cambridge Court,"939 Heather CircleSalinas, CA 93906","$1,651",3 Bedrooms,Comfort and style await you at these beautiful North Salinas apartments.,24,1,1.0,610,2,True,1550.0,1906.0,1906.0,"['Walnut finish package', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Patio/balcony', 'Walnut cabinetry']","['BBQ/picnic area', 'Limited access gates', 'On-site laundry', 'Pet friendly', 'Playground', 'Swimming pools (3)']"
Boronda Manor,"2073 Santa Rita StreetSalinas, CA 93906","$1,999",2 Bedrooms,"Our apartments feature attractive patio and backyard spaces as well as easy access to shops, schools, and more.",166,2,1.0,659,1,True,1925.0,2236.0,2236.0,"['Smart home package', 'Dishwasher', 'Yard', 'Patio/balcony', 'Screen door', 'Corner location']","['Courtesy patrol', 'Covered parking', 'On-site laundry', 'Outdoor gazebo and picnic area', 'Pet friendly', 'Playground', 'Prompt and professional maintenance service', 'Resident events']"
Pointe at Northridge,"436 Noice DriveSalinas, CA 93906","$1,999",2 Bedrooms,Call charming North Salinas home when you settle in the Pointe at Northridge apartments.,2E,1,1.0,672,2,True,1700.0,2069.0,2069.0,"['Smart home package', 'Patio/balcony', 'Large closet', 'Screen door']","['Dog park', 'Fitness center', 'Swimming pools (2)', 'On-site laundry', 'Pet friendly']"
Pointe at Harden Ranch,"2290 N. Main StreetSalinas, CA 93906","$1,899",3 Bedrooms,"A lovely, park-like neighborhood welcomes you home to the Pointe at Harden Ranch apartments in North Salinas.",46432A,1,1.0,660,1,True,1700.0,2039.0,2039.0,"['Stainless steel appliances', 'Patio/balcony', 'Smart home package', 'Washer and dryer', 'Gas stove', 'Fireplace', 'Screen door']","['2 swimming pools', 'BBQ area', 'Courtesy patrol', 'Dog park', 'Fitness center', 'Pet friendly', 'Playground', 'Spa']"
Garden Court,"1044 John StreetSalinas, CA 93905","$2,099",2 Bedrooms,Comfort and convenience are yours at Garden Court apartment homes in Salinas.,104,1,1.0,672,2,True,1800.0,2099.0,2099.0,"['Patio/balcony', 'Smart home package', 'Gas stove', 'Disposal', 'Screen door']","['Additional parking available', 'Courtesy patrol', 'Covered parking', 'On-site laundry', 'Pet friendly']"
The Courts at Dulles,"13800 Jefferson Park DriveHerndon, VA 20171","$1,949",3 Bedrooms,"Life at The Courts at Dulles puts you at the center of entertainment, travel, arts, shopping and more.",6202,1,1.0,650,2,True,350.0,1949.0,1949.0,"['Smart Home + GiGstreem Internet', 'Washer and dryer', 'Gas stove', 'High ceilings', 'Pato/balcony', 'Walk-in closet', 'Soaking tub']","['24-hour business center', '24-hour fitness center', 'Airbnb-friendly', 'Clubhouse with Wi-Fi', 'Conference room', 'Dog park', 'EV charging', 'Focus room', 'Grilling areas', 'Landscaped courtyards', 'On-site storage', 'Parking garage', 'Pet friendly', 'Playground', 'Sundeck', 'Swimming pool']"
The Courts at Huntington Station,"5950 Grand Pavilion WayAlexandria, VA 22303","$1,827",3 Bedrooms,"When you make your home at The Courts at Huntington Station, the best of Northern Virginia and the Capital are right outside your door.",421,1,1.0,710,4,True,350.0,1827.0,1827.0,"['High ceilings', 'Espresso on Taupe finish package', 'Smart Home + GiGstreem Internet', 'Espresso cabinetry', 'Granite countertops', 'Stainless steel appliances', 'Breakfast bar', 'Washer and dryer', 'Walk-in closet with built-ins', 'Carpet flooring']","['24-hour package lockers', 'Bike storage', 'Business center', 'Clubhouse with Wi-Fi', 'Conference room', 'Controlled-access building', 'Elevators', 'Focus room', 'Game room', 'Garage guest parking', 'Grilling area', 'Landscaped courtyards', 'Pet friendly', 'Recycling', 'Resident events', 'State-of-the-art fitness center', 'Swimming pool', 'Underground parking garage', 'Yoga and indoor cycling studios', 'Airbnb-friendly']"
Arbor Park of Alexandria,"6340 Wingate StreetAlexandria, VA 22312","$1,695",3 Bedrooms,Arbor Park of Alexandria lets you experience all of the excitement of a major metropolitan area while giving you a restful place to come home.,4786,2,2.0,1065,1,True,400.0,2378.0,2378.0,"['Espresso on sand finish package', 'Smart Home + GiGstreem Internet', 'Forest view', 'Terrace', 'Stainless steel appliances', 'Washer and dryer', 'Dual vanity', 'Corner location', 'Espresso cabinetry', 'Carpet flooring', 'Sand countertops']","['24-hour package lockers', 'Bilingual staff', 'Business center', 'Dog park', 'Fitness center', 'Guest parking', 'Kiddie pool', 'On-site laundry', 'On-site parking', 'On-site storage', 'Pet friendly', 'Picnic Area', 'Playground', 'Recycling', 'Resident events', 'Swimming pool']"
Newport Village,"4757 West Braddock RoadAlexandria, VA 22311","$1,578",3 Bedrooms,"Surrounded by everything Alexandria and the Washington, DC metro area have to offer, Newport Village is the perfect place to call home.",4770,3,2.5,1545,1,True,300.0,3108.0,3108.0,"['Espresso on sand finish package', 'Espresso Cabinetry', 'Smart Home + GiGstreem Internet', 'Granite countertops', 'Stainless steel appliances', 'Patio/balcony', 'Washer and dryer', 'Gas stove', 'Walk-in closet', 'Ceiling fan', 'Carpet flooring']","['24-hour package lockers', 'Airbnb-friendly', 'Dog park', 'Fitness center', 'Grilling areas', 'On-site laundry', 'On-site parking', 'Pet friendly', 'Picnic area', 'Playground', 'Swimming pool']"
Eleven55 Ripley,"1155 Ripley StreetSilver Spring, MD 20910","$1,761",2 Bedrooms,"Upscale Eleven55 Ripley features unrivaled amenities, style, and convenience.",1608,1,1.0,603,16,True,350.0,2296.0,2296.0,"['Updated interior', 'Dark grey on white finish package', 'Smart Home + GiGstreem Internet', 'Dark Grey Cabinetry', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Soaking tub']","['24-hour Concierge services', 'Airbnb-friendly', 'Clubhouse with catering kitchen', 'Conference room', 'Controlled-access bike storage', 'Controlled-access building', 'Elevator', 'Fitness center with yoga room', 'Garage parking', 'Garden terrace', 'Non-smoking community', 'On-site retail', 'On-site storage', 'Package lockers ', 'Pet friendly', 'Rooftop pool']"
1200 East West,"1200 East-West HighwaySilver Spring, MD 20910","$1,981",2 Bedrooms,"1200 East West provides unequalled amenities and eco-friendly living just north of Washington, DC.",0218,1,1.0,715,2,True,350.0,2156.0,2156.0,"['Updated interior', 'Patio/balcony', 'Dark grey on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Dark Grey Cabinetry', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Floor-to-ceiling window', 'Tile floors in kitchen/ bathroom', 'Central A/C and Heat']","['24-hour fitness center', 'Airbnb-friendly', 'Bike storage', 'Concierge services', 'Controlled-access building', 'Courtyards with picnic areas and gas grills', 'Electric vehicle charging station', 'Elevator', 'Media/ Gaming room', 'On-site retail', 'On-site storage', 'Package receiving', 'Pet-friendly', 'Resident lounge', 'Rooftop deck', 'Underground parking garage', 'Walking distance to Metro']"
Dominion Lake Ridge,"3216 Bluff View CourtWoodbridge, VA 22192","$1,595",2 Bedrooms,"If you're looking for a quiet place recharge from high pressure life, then make your home at Dominion Lake Ridge in Lake Ridge.",320621,1,1.0,703,2,True,250.0,1595.0,1595.0,"['Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Wood burning fireplace', 'Patio/balcony', 'Ceiling fan', 'Vaulted ceilings']","['24-hour fitness center', 'Airbnb-friendly', 'Dog park', 'Grilling area', 'Hot tub', 'Lake Ridge HOA membership', 'On-site maintenance', 'On-site storage', 'Pet friendly', 'Playground', 'Sundeck', 'Swimming pool']"
Wellington Place at Olde Town,"10303 7th Regiment DriveManassas, VA 20110","$1,656",3 Bedrooms,Wellington Place at Olde Town's vibrant apartment community in Manassas is a great place to live.,08105,0,1.0,537,1,True,300.0,1846.0,1846.0,"['Updated interior', 'White/grey on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Smart home package', 'Patio/ balcony', 'Dishwasher', 'Ceiling fan', 'Built-in bookcase', 'Storage closet on patio', 'Walk-in closet', 'Central A/C and heat', 'White/Grey Cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Airbnb-friendly', 'Car care center', 'Clubhouse with Wi-Fi', 'Business center', 'Dog park', 'Free weights', 'Grilling areas', 'Indoor sports court', 'Olympic-size swimming pool', 'Pet friendly', 'Playground', 'Sundeck']"
Dominion Middle Ridge,"12280 Creekview CircleWoodbridge, VA 22192","$1,515",3 Bedrooms,"Dominion Middle Ridge Apartments offers the perfect blend of peaceful living and city convenience, with parks, shops, and Potomac Mills just minutes away.",013010,1,1.0,588,2,True,250.0,1599.0,1599.0,"['Maple finish package', 'Stainless steel appliances', 'Washer and dryer', 'Wood plank flooring', 'Smart home package', 'Walk-in closet', 'Closet built-ins', 'Maple cabinetry']","['24-hour fitness center', 'Airbnb-friendly', 'Car care center', 'Dog park', 'Grilling areas', 'On-site maintenance', 'On-site storage', 'Outdoor kitchen', 'Pet friendly', 'Playground', 'Reserved parking', 'Sundeck', 'Swimming pool', 'Wi-Fi (in common areas)']"
Domain College Park,"3711 Campus DriveCollege Park, MD 20740","$1,706",2 Bedrooms,"Located in College Park, our upscale apartments are located just off campus and are loaded with upscale amenities.",161,1,1.0,633,1,True,400.0,1791.0,1791.0,"['Courtyard view', 'Espresso on white finish package', 'Built-in desk', 'Granite countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Walk-in closet with built-ins', 'Tile floors in bathroom', 'Soaking tub', 'Pantry', 'High ceilings', 'Espresso cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Billiards and HDTV lounge', 'Business center and conference rooms', 'Concierge services', 'Controlled-access building', 'Electric vehicle charging stations', 'Elevator', 'Internet powered by GiGstreem', 'Non-smoking community', 'On-site retail', 'On-site storage', 'Outdoor fireplace and lounge', 'Pet friendly', 'Private garage', 'Flexible lease terms available', 'Swimming pool']"
Presidential Greens,"3904 Executive AvenueAlexandria, VA 22305","$1,410",3 Bedrooms,"Minutes from the Potomac River and Washington DC, our apartments in Potomac West puts you near work and play.",E01A11,1,1.0,586,1,True,400.0,1787.0,1787.0,"['White/grey on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Dishwasher', 'White/grey cabinetry']","['24-hour emergency maintenance', 'Airbnb-friendly', 'Laundry facility', 'Playground', 'Pet friendly']"
Signal Hill Apartment Homes,"2170 Sentry Falls WayWoodbridge, VA 22191","$1,746",2 Bedrooms,You’ll love the upscale amenities and thoughtful design details at our stylish apartments in South Woodbridge.,215,1,1.0,688,2,True,350.0,1935.0,1935.0,"['Updated interior', 'Grey on white finish package', 'Quartz countertops', 'Pool view', 'Stainless steel appliances', 'Smart home package', 'Washer and dryer', 'Pantry', 'Walk-in closet', 'Tile floors in kitchen/bathroom', 'Grey cabinetry']","['24-hour fitness center', '24-hour package pickup', 'Additional parking available', 'Airbnb-friendly', 'Business center', 'Clubhouse', 'Controlled-access building', 'Elevator', 'EV charging solutions', 'Fire pit', 'Grilling areas', 'Guest parking', 'Outdoor barbeque', 'Pet friendly', 'Sundeck', 'Swimming pool', 'Wi-Fi (in common areas)']"
Ridgewood,"4101 Postgate TerraceSilver Spring, MD 20906","$1,715",2 Bedrooms,Manicured courtyards and stylish design welcome you home to Ridgewood apartments in Silver Spring.,009201,1,1.0,692,2,True,350.0,1907.0,1907.0,"['Updated interior', 'Patio / balcony', 'Grey on white finish package', 'Carpet Flooring', 'Washer and dryer', 'Breakfast bar', 'Smart home package', 'Closet built-ins', 'Handicap accessible']","['24-hour emergency maintenance', 'Beautifully landscaped grounds with a rain water pond', 'Clubhouse', 'Commercial parking spaces', 'Controlled access storage', 'Fitness center', 'Grilling areas', 'Package receiving', 'Pet friendly', 'Playground', 'Swimming pool']"
Sullivan Place,"5575 Vincent Gate TerraceAlexandria, VA 22312","$1,849",3 Bedrooms,"From your first view of the cascading water fountain, you'll know you've found something special at our stylish apartments in Alexandria.",1166,1,1.0,726,1,True,350.0,1950.0,1950.0,"['Courtyard view', 'White/grey on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Stainless steel appliances', 'Carpet flooring', 'Washer and dryer', 'Gas range', 'Walk-in closet', 'California Closets®', 'Upgraded bathroom fixtures', 'Garden tub', 'Pantry', 'White/Grey Cabinetry']","['24-hour emergency maintenance', '24-hour fitness center', '24-hour package lockers', 'Billiards room', 'Clubhouse', 'Community pub', 'Conference room', 'Dog wash station', 'Elevator', 'Focus room', 'Free weights', 'Grilling area', 'On-site storage', 'Parking garage', 'Pet friendly', 'Shuttle bus service', 'Spa', 'Sundeck', 'Swimming pool']"
The Whitmore,"4301 Columbia PikeArlington, VA 22204","$1,597",3 Bedrooms,The Whitmore is an apartment community in Arlington where style and luxury converge.,216,1,1.0,852,2,True,350.0,2041.0,2041.0,"['Espresso on sand finish package', 'Granite countertops', 'Stainless steel appliances', 'Washer and dryer', 'Smart home package', 'Tile backsplash', 'Breakfast bar', 'Pantry', 'Wood plank flooring', 'Ceiling fan', 'Tile floors in kitchen/ bathroom', 'Premium bathroom fixtures', 'Espresso cabinetry']","['24-hour fitness center', 'Bike storage', 'Elevator', 'Grilling area', 'On-site maintenance', 'On-site storage', 'Package lockers ', 'Pet friendly', 'Reserved parking', 'Resident lounge', 'Swimming pool & sundeck', 'Valet dry cleaning']"
Delancey at Shirlington Village,"4220 Campbell AvenueArlington, VA 22206","$1,918",2 Bedrooms,"Offering an easy commute to Washington DC, the Village of Shirlington has wonderful dining, shopping and entertainment.",0415,1,1.0,660,4,True,350.0,1918.0,1918.0,"['Updated interior', 'Shirlington Village view', 'White/grey on white finish package', 'Granite countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Tile backsplash', 'Closet built-ins', 'Soaking tub', 'White/charcoal cabinetry']","['Airbnb-friendly', 'Clubroom', 'Elevator', 'Fitness center', 'Free weights', 'On-site retail', 'On-site storage', 'Package receiving', 'Parking garage', 'Pet friendly', 'Swimming pool and sundeck', 'Yoga room']"
Waterside Towers,"907 6th Street SWWashington, DC 20024","$1,969",4 Bedrooms,"Waterside Towers offer convenient amenities, thoughtful details, and versatile apartment floor plans in Southwest Washington DC.",740209,1,1.0,720,2,True,350.0,2098.0,2098.0,"['Espresso on sand finish package', 'Espresso cabinetry', 'Sand countertops', 'Wood plank flooring', 'Stainless steel appliances', 'Smart home package', 'Gas stove', 'Floor-to-ceiling windows', 'Patio/balcony', 'Storage closet on patio']","['24-hour concierge services', 'Bike storage', 'Business center', 'Car care center', 'Controlled-access building', 'Covered parking', 'Elevated courtyard', 'Elevator', 'Grilling area', 'Health club discount', 'On-site laundry', 'On-site storage', 'Package lockers ', 'Pet friendly', 'Resident lounge', 'Swimming pools', 'Wi-Fi (in common areas)']"
View 14,"2303 14th Street NWWashington, DC 20009","$1,927",2 Bedrooms,"At the heart of the nation’s capital, our luxury apartment homes are a perfect base for vibrant 14th Street Corridor living.",807,1,1.0,594,8,True,250.0,2843.0,2843.0,"['Penthouse', 'Monument/Capitol view', 'Large terrace', 'Updated interior', 'Walnut on white finish package', 'Quartz countertops', 'Walnut cabinetry', 'Floor-to-ceiling windows', 'Stainless steel appliances', 'Walk-in closet', 'Wood plank flooring', 'Smart home package', 'Washer and dryer']","['24- hour concierge services', '24-hour package lockers', 'Club room', 'Controlled-access building', 'Elevator', 'Fitness center', 'Fitwel Certified ', 'Internet powered by GiGstreem', 'On-site maintenance', 'On-site retail', 'On-site storage', 'Pet friendly', 'Recycling', 'Resident events', 'Courtyard', 'Underground parking garage', 'Valet dry cleaning', 'Zipcar on-site']"
Andover House,"1200 14th Street NWWashington, DC 20005","$2,029",2 Bedrooms,"Located in Thomas Circle, Andover House offers luxury apartment living near the best of DC.",1109,1,1.0,905,11,True,250.0,3099.0,3099.0,"['Terrace', 'Light oak on sand finish package', 'Smart Home + GiGstreem Internet', 'Granite countertops', 'Stainless steel appliances', 'Washer and dryer', 'Tile backsplash', 'Walk-in closet', 'Closet built-ins', 'Storage on patio', 'Soaking tub', 'Den/office', 'Tile floors in kitchen and bathrooms', 'Light oak cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Clubhouse', 'Conference room', 'Concierge services', 'Controlled-access building', 'Controlled-access parking garage', 'Elevator', 'Fitwel Certified', 'Garage guest parking', 'On-site storage', 'Pet friendly', 'Resident lounge', 'Rooftop grills']"
Capitol View on 14th,"2420 14th Street NWWashington, DC 20009","$2,059",2 Bedrooms,"From the stunning entrance to the rooftop pool, there’s no finer place to call home than Capitol View on 14th in the U Street Corridor.",827,1,1.0,580,8,True,250.0,2740.0,2740.0,"['Balcony', 'High ceilings', 'Espresso on sand finish package', 'Smart Home + GiGstreem Internet', 'Granite countertops', 'Stainless steel appliances', 'Hardwood flooring', 'Washer and dryer', 'Tile backsplash', 'Closet built-ins', 'Tile floors in bathroom', 'Espresso cabinetry']","['24-hour concierge', '24-hour fitness center', 'Bike storage', 'Co-working space with conference room', 'Controlled-access building', 'Dale Chihuly glass lobby sculpture', 'Elevator', 'EV charging solutions', 'Grilling area', 'LEED Certified Platinum', 'On-site maintenance', 'On-site retail', 'Package lockers', 'Parking garage', 'Peloton bikes', 'Pet friendly', 'Resident lounge', 'Rooftop pool', 'Sundeck', 'Valet service', 'Zen garden', 'On-site management']"
1301 Thomas Circle,"1301 M Street NWWashington, DC 20005","$2,721",3 Bedrooms,This is something different. Something more. Welcome to your new luxury home in Washington DC's Logan Circle.,416,1,1.0,635,4,True,250.0,2975.0,2975.0,"['Updated interior', 'Walnut on white finish package', 'Smart Home + GiGStreem Internet', 'Quartz countertops', 'Southern M street view', 'Wood plank flooring', 'Washer and dryer', 'Breakfast bar', 'Walk-in closet', 'Soaking tub', 'Walnut cabinetry']","['24-hour fitness center', '24-hour package pickup', 'Club room', 'Concierge services', 'Conference room', 'Controlled-access building', 'Courtyard lounge', 'Efficiency benchmarked via ENERGY STAR Portfolio Manager', 'Elevator', 'EV charging solutions', 'Fitwel Certified', 'Garage guest parking', 'On-site maintenance', 'Parking garage', 'Pet friendly', 'Rooftop grilling area', 'Rooftop pool', 'Sundeck']"
The MO,"440 Penn St NEWashington, DC 20002","$2,151",3 Bedrooms,"Stay inspired by the diverse details, modern interiors, and collaborative spaces at The MO, located above Union Market in Washington D.C.",1224,1,1.0,547,12,True,250.0,2195.0,2195.0,"['Penthouse', 'Courtyard view', 'Broadway black finish package', 'Kitchen island waterfall edge', 'Floor-to-ceiling windows', 'Premium Italian cabinetry', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Floor-to-ceiling tiled shower', 'Frameless glass enclosed shower', 'Luxury combo shower head', 'Roller shades', 'Glass top stove', 'Tiled bathroom', 'Quartz backsplash', 'Tiled backsplash', 'Junior one bedroom', 'Dimmable lights', 'Under cabinet lighting', 'USB outlets', 'Soft close drawers', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Microwave']","['Bike storage', 'Community kitchen and dining area', '24-hour concierge', 'Conference rooms', 'Controlled access parking garage', 'Convenient to Union Market', 'Courtyard', 'Electric vehicle charging stations', 'Elevators', 'Entertainment area with TV, billiards, and lounge', '24-hour fitness center', 'Grilling areas', 'Internet powered by GiGstreem ', 'On-site retail', 'On-site storage', 'Outdoor fire pit', 'Outdoor shower', 'Package lockers', 'Peloton bikes', 'Penthouse pool and sundeck', 'Pet spa', 'Pursuing LEED Silver Certification', 'Sky deck', 'Work from home space', 'Yoga studio']"
Villaggio,"1701 E Debbie LaneMansfield, TX 76063","$1,407",2 Bedrooms,"Experience peaceful living at Villaggio in Mansfield, TX, with spacious floor plans, welcoming amenities, and a prime centralized location.",10105,1,1.0,690,1,True,250.0,1452.0,1452.0,"['Balcony', 'Pool views', 'Espresso on moon finish package', 'Smart home package', 'Kitchen island', 'Stainless steel appliances', 'Oak wood plank flooring', 'Washer and dryer', 'Tile backsplash', 'Walk-in closets', 'Dishwasher', 'Microwave', 'Garbage disposal', 'Undermount sink', 'Ceiling fan', 'Espresso cabinetry', 'Air conditioner', 'Shower / tub combo', 'Moon countertops']","['Billiards', 'Conference room', 'Dog park', 'Fire pit', 'Fitness center', 'Grilling stations', 'Package lockers', 'Pool lounge', 'Resident lounge', 'Resort-style pool and sun deck', 'Reserved parking spaces', 'Spin room', 'Storage units', 'Yoga room']"
The Flats at Palisades,"2525 Empire DrRichardson, TX 75080","$1,269",3 Bedrooms,"Experience the modern living at Flats at Palisades, a premier Richardson community offering resort-style living, spacious floor plans, cutting-edge finishes, and an array of top-tier amenities.",2101,1,1.0,639,2,True,250.0,1352.0,1352.0,"['Balcony', 'Pool views', '12 ft ceilings', 'Espresso on sand finish package', 'Smart home package', 'Granite countertops', 'Stainless steel appliances', 'Oak wood plank flooring', 'Washer and dryer', 'Glass top stove', 'Glass tile backsplash', 'Walk-in closets', '42 inch cabinets', 'Ceiling fans', 'Dishwasher', 'Microwave', 'Garbage disposal', 'USB outlets', 'Undermount sink', 'Carpeted bedrooms', 'Espresso cabinetry', 'Air conditioner', 'Shower / tub combo', '2-inch faux wood blinds']","['Airbnb-friendly', 'Bike storage', 'Bike shop', 'Business centers', 'Conference rooms', 'Co-working space', 'Dog park', 'EV Charging solutions', 'Two 24-hour fitness centers', 'Lounge seating', 'Outdoor fireplace', 'Outdoor grilling areas', 'Package lockers', 'Pet spa', 'Pool table', 'Putting green', 'Multiple resident lounges', 'Shuffleboard', 'Sundeck', 'Two swimming pools', 'Urban courtyard', 'Yoga studio', 'Zen garden']"
THIRTY377,"3377 Blackburn StreetDallas, TX 75204","$1,852",3 Bedrooms,THIRTY377 is a dynamic and lively enclave in the heart of Uptown Dallas.,04102,1,1.0,960,1,True,250.0,1892.0,1892.0,"['Courtyard view', 'Patio/balcony', 'Dark cherry on black finish package', 'Smart Home + GiGstreem Internet', 'Granite countertops', 'Wood plank flooring', 'Stainless steel appliances', 'Washer and dryer', 'Tile backsplash', 'Ceiling fan(s)', 'Pantry', 'Walk-in closet', 'Dual vanity', 'Dark cherry cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Airbnb-friendly', 'Conference room', 'Clubhouse', 'Direct access to Katy Trail', 'Dog park with turf', 'EV charging stations', 'Grilling areas', 'On-site storage', 'Pet friendly', 'Reserved and covered parking available', 'Swimming pool', 'Wi-Fi in clubhouse and at pool']"
Savoye,"3850 Vitruvian WayAddison, TX 75001","$1,105",2 Bedrooms,"From views of green spaces to elevated amenities, our community overlooking Vitruvian Park® offers exquisite apartment living.",212,1,1.0,852,2,True,300.0,1684.0,1684.0,"['Courtyard view', 'Espresso finish package', 'Granite countertops', 'White countertops', 'Espresso Cabinetry', 'Walnut wood plank flooring', 'Stainless steel appliances', 'Tile backsplash', 'Washer and dryer', 'Smart home package', 'Walk-in closet', 'Den/office']","['24-hour package lockers', 'Airbnb partner', 'Amphitheater ', 'Business center', 'Conference room', 'Controlled-access building', 'Covered garage parking', 'Elevators', 'EV Charging Solutions', 'Fitness center', 'LEED Certified Silver', 'Outdoor lounge space with grills, table-tennis, and chess', 'Pet friendly', 'Resident lounge', 'Two swimming pools', 'Walking trails nearby']"
The Canal,"2061 Wittington PlaceFarmers Branch, TX 75234","$1,305",2 Bedrooms,"The Canal offers high-style apartments and townhomes, indulgent community amenities, and a commuter-friendly location in Farmers Branch.",0106,1,1.5,1035,1,True,250.0,2090.0,2090.0,"['Townhome', 'White finish package', 'Side-by-side refrigerator', '42-inch custom cabinetry', 'Walk-in closets', 'Under-mounted sinks', 'Smart home package', 'Tile backsplash', 'Ceiling fans', 'Tub / shower combo', 'White cabinetry', 'Marbled granite countertops']","['Airbnb-friendly', 'Billiards', 'Cabanas and lounges', 'Canal', 'Canal-side seating areas', 'Clubhouse', 'Courtyards', 'Covered parking', 'Conference room', 'Dog park with agility equipment', 'Elevator access', 'Fitness center featuring boxing bag', 'Garage parking', 'Grilling stations', 'Lounge deck', 'Onsite storage', 'Package lockers', 'Personal work spaces', 'Pet-friendly', 'Two swimming pools', 'Valet trash and recycling pick-up ']"
Addison Apartments at the Park,"3925 Vitruvian WayAddison, TX 75001",$819,3 Bedrooms,Call our garden-style community in Addison home and enjoy stylish amenities and access to the best of Dallas.,124,1,1.5,885,1,True,250.0,1182.0,1182.0,"['Honey pine finish', 'Smart home package', 'Black appliances', 'Dishwasher', 'Ceiling fan', 'Central A/C and heat', 'Fireplace', '2-inch blinds', 'Honey Pine Cabinetry']","['24-hour package lockers', 'Addison Athletic Club membership', 'Airbnb-friendly', 'Dog park with agility equipment', 'Grilling areas', 'On-site laundry', 'Pet friendly', 'Playground', 'Reserved parking', 'Swimming pools (4)', 'Covered parking', 'Common area outdoor space', 'Walking trail access', 'Vitruvian Park neighborhood']"
